keywords,year,id,_title,_authors,_abstract,_origin_path,_display_path_to_pdf,_path_to_pdf
None,2021,0000,Distance Polymatrix Coordination Games,"Alessandro Aloisio, Michele Flammini, Bojana Kodric, Cosimo Vinci",abstract comes here,https://www.ijcai.org/proceedings/2021/0001.pdf,data/fulltext/pdf/2021/0000.pdf,../vikus-viewer/data/fulltext/pdf/2021/0000.pdf
None,2021,0001,Diversity in Kemeny Rank Aggregation: A Parameterized Approach,"Emmanuel Arrighi, Henning Fernau, Daniel Lokshtanov, Mateus de Oliveira Oliveira, Petra Wolf",abstract comes here,https://www.ijcai.org/proceedings/2021/0002.pdf,data/fulltext/pdf/2021/0001.pdf,../vikus-viewer/data/fulltext/pdf/2021/0001.pdf
None,2021,0002,School Choice with Flexible Diversity Goals and Specialized Seats,"Haris Aziz, Zhaohong Sun",abstract comes here,https://www.ijcai.org/proceedings/2021/0003.pdf,data/fulltext/pdf/2021/0002.pdf,../vikus-viewer/data/fulltext/pdf/2021/0002.pdf
None,2021,0003,PROPm Allocations of Indivisible Goods to Multiple Agents,"Artem Baklanov, Pranav Garimidi, Vasilis Gkatzelis, Daniel Schoepflin",abstract comes here,https://www.ijcai.org/proceedings/2021/0004.pdf,data/fulltext/pdf/2021/0003.pdf,../vikus-viewer/data/fulltext/pdf/2021/0003.pdf
None,2021,0004,Learning Within an Instance for Designing High-Revenue Combinatorial Auctions,"Maria-Florina Balcan, Siddharth Prasad, Tuomas Sandholm",abstract comes here,https://www.ijcai.org/proceedings/2021/0005.pdf,data/fulltext/pdf/2021/0004.pdf,../vikus-viewer/data/fulltext/pdf/2021/0004.pdf
None,2021,0005,Combining Fairness and Optimality when Selecting and Allocating Projects,"Khaled Belahcène, Vincent Mousseau, Anaëlle Wilczynski",abstract comes here,https://www.ijcai.org/proceedings/2021/0006.pdf,data/fulltext/pdf/2021/0005.pdf,../vikus-viewer/data/fulltext/pdf/2021/0005.pdf
None,2021,0006,Two Influence Maximization Games on Graphs Made Temporal,"Niclas Boehmer, Vincent Froese, Julia Henkel, Yvonne Lasars, Rolf Niedermeier, Malte Renken",abstract comes here,https://www.ijcai.org/proceedings/2021/0007.pdf,data/fulltext/pdf/2021/0006.pdf,../vikus-viewer/data/fulltext/pdf/2021/0006.pdf
None,2021,0007,Winner Robustness via Swap- and Shift-Bribery: Parameterized Counting Complexity and Experiments,"Niclas Boehmer, Robert Bredereck, Piotr Faliszewski, Rolf Niedermeier",abstract comes here,https://www.ijcai.org/proceedings/2021/0008.pdf,data/fulltext/pdf/2021/0007.pdf,../vikus-viewer/data/fulltext/pdf/2021/0007.pdf
None,2021,0008,Putting a Compass on the Map of Elections,"Niclas Boehmer, Robert Bredereck, Piotr Faliszewski, Rolf Niedermeier, Stanisław Szufa",abstract comes here,https://www.ijcai.org/proceedings/2021/0009.pdf,data/fulltext/pdf/2021/0008.pdf,../vikus-viewer/data/fulltext/pdf/2021/0008.pdf
None,2021,0009,Loyalty in Cardinal Hedonic Games,"Martin Bullinger, Stefan Kober",abstract comes here,https://www.ijcai.org/proceedings/2021/0010.pdf,data/fulltext/pdf/2021/0009.pdf,../vikus-viewer/data/fulltext/pdf/2021/0009.pdf
